"activity_label" "subject" "tbodyacc_mean_x" "tbodyacc_mean_y" "tbodyacc_mean_z" "tbodyacc_std_x" "tbodyacc_std_y" "tbodyacc_std_z" "tgravityacc_mean_x" "tgravityacc_mean_y" "tgravityacc_mean_z" "tgravityacc_std_x" "tgravityacc_std_y" "tgravityacc_std_z" "tbodyaccjerk_mean_x" "tbodyaccjerk_mean_y" "tbodyaccjerk_mean_z" "tbodyaccjerk_std_x" "tbodyaccjerk_std_y" "tbodyaccjerk_std_z" "tbodygyro_mean_x" "tbodygyro_mean_y" "tbodygyro_mean_z" "tbodygyro_std_x" "tbodygyro_std_y" "tbodygyro_std_z" "tbodygyrojerk_mean_x" "tbodygyrojerk_mean_y" "tbodygyrojerk_mean_z" "tbodygyrojerk_std_x" "tbodygyrojerk_std_y" "tbodygyrojerk_std_z" "tbodyaccmag_mean" "tbodyaccmag_std" "tgravityaccmag_mean" "tgravityaccmag_std" "tbodyaccjerkmag_mean" "tbodyaccjerkmag_std" "tbodygyromag_mean" "tbodygyromag_std" "tbodygyrojerkmag_mean" "tbodygyrojerkmag_std" "fbodyacc_mean_x" "fbodyacc_mean_y" "fbodyacc_mean_z" "fbodyacc_std_x" "fbodyacc_std_y" "fbodyacc_std_z" "fbodyaccjerk_mean_x" "fbodyaccjerk_mean_y" "fbodyaccjerk_mean_z" "fbodyaccjerk_std_x" "fbodyaccjerk_std_y" "fbodyaccjerk_std_z" "fbodygyro_mean_x" "fbodygyro_mean_y" "fbodygyro_mean_z" "fbodygyro_std_x" "fbodygyro_std_y" "fbodygyro_std_z" "fbodyaccmag_mean" "fbodyaccmag_std" "fbodybodyaccjerkmag_mean" "fbodybodyaccjerkmag_std" "fbodybodygyromag_mean" "fbodybodygyromag_std" "fbodybodygyrojerkmag_mean" "fbodybodygyrojerkmag_std"
"LAYING" 25 0.301272094179104 -0.014986956391194 -0.107623260089552 -0.500968895877612 -0.345365541732836 -0.481486248676119 0.619524892940299 -0.0236115050298507 0.0580090099802985 -0.962242295223881 -0.952146891492537 -0.93574951119403 0.0544830647761194 -0.0177617860776119 -0.0263703876059702 -0.539946390626866 -0.471414578537313 -0.687299296641791 -0.0186044576835821 -0.0770408475159702 0.0869440950149254 -0.615571409701492 -0.593729827668657 -0.551674435910448 -0.0807687954776119 -0.0579762928731343 -0.0708286550874627 -0.622788404865672 -0.718534495253731 -0.652977736567164 -0.417792004731343 -0.479717138335821 -0.417792004731343 -0.479717138335821 -0.539645967582089 -0.512982529208955 -0.475659570614925 -0.561399510195522 -0.680563389552239 -0.703394758761194 -0.539205492925373 -0.398749655180597 -0.564761957701493 -0.487922241089552 -0.361166798434328 -0.480674006447761 -0.566772866955224 -0.508064348552239 -0.669062936597015 -0.554099159731343 -0.467760486097015 -0.704081055671642 -0.550108018671642 -0.625849357268657 -0.554399459104478 -0.63845832119403 -0.581972919358209 -0.594469746910448 -0.472370851119403 -0.566225894641791 -0.511503273132836 -0.520227853514925 -0.607755382185075 -0.609636494223881 -0.712668943820896 -0.71370981219403
"LAYING" 26 0.308727720994898 -0.0173421864173214 -0.115973002975255 -0.393514520573546 -0.221699092496454 -0.387233543980102 0.740809779806123 -0.109161752459439 0.0281285673846429 -0.960012807117347 -0.941920747576531 -0.927107112219388 0.0565191177987245 -0.0267800671946429 -0.0275517034842194 -0.430354332999235 -0.37632335754335 -0.628753684712194 -0.0213891294341454 -0.086844465057551 0.0892472949175 -0.549194649995918 -0.509682663395663 -0.449769630665816 -0.09699964899675 -0.0371312537466837 -0.0715060800308163 -0.565649066664031 -0.671354720665561 -0.599001336561735 -0.295598376415689 -0.380893069484439 -0.295598376415689 -0.380893069484439 -0.442306224531888 -0.416848450260204 -0.386119325395051 -0.477706450003929 -0.626008077132653 -0.656939973362245 -0.418815650681633 -0.26934583101301 -0.480266870770995 -0.385798301751275 -0.248678160547066 -0.389611571340051 -0.462814516262245 -0.412516368732503 -0.603186049123214 -0.448537898316582 -0.379739921259694 -0.653605941297679 -0.472675385794388 -0.546964877964541 -0.43899954907449 -0.576567197418367 -0.495958454422194 -0.506977002627551 -0.370407053394056 -0.48609679392602 -0.407406613448801 -0.43501080679949 -0.532053246668622 -0.534854977358418 -0.660105569380102 -0.678295598290816
"LAYING" 27 0.323747245611702 -0.0184354367681383 -0.110037934297899 -0.332491358258511 -0.165043687985638 -0.336194796463564 0.755056504534575 -0.110530808020479 0.00957992179571809 -0.954560450957447 -0.94643579856383 -0.921473078537234 0.0601324374966755 -0.0438823900355585 -0.047230836020859 -0.380451151066489 -0.312305739694681 -0.580537998725505 -0.0237944136997606 -0.0816462511875 0.0888372384999734 -0.521960545595745 -0.457577081537101 -0.411020551788085 -0.116363043062713 -0.0266812135970479 -0.0493476367431383 -0.524478858374734 -0.622222599772075 -0.551292003140957 -0.233719675870904 -0.316068812604255 -0.233719675870904 -0.316068812604255 -0.387455323795372 -0.354587968452128 -0.336766504483245 -0.436759715638298 -0.581283359930851 -0.607789071553192 -0.356490359178191 -0.20628450715883 -0.420063148098404 -0.325662305476117 -0.199422660293085 -0.347538172324043 -0.41211764825133 -0.352424994484229 -0.548408114736968 -0.403622268719415 -0.316143018055053 -0.611594708807979 -0.432028215452128 -0.492783630183138 -0.392194931536968 -0.553645845417553 -0.446191115103138 -0.474149319243883 -0.300810720120213 -0.434634338712394 -0.345471473326596 -0.372454384855239 -0.485783702053989 -0.505667960962766 -0.612244032879681 -0.631469650883511
"LAYING" 28 0.34198583052356 -0.0183817912016649 -0.111255540274607 -0.233007293259948 -0.0541462202346859 -0.288432926005576 0.822377517544503 -0.141613565103665 -0.0278811905971204 -0.953862285863874 -0.939465325968586 -0.92372250552356 0.0336937037348822 -0.0514553361977225 -0.0613524886258639 -0.287632488985079 -0.218052737582199 -0.536389600471204 -0.0112021262563874 -0.0863757239601571 0.0947121044062827 -0.479059289662304 -0.404427417768063 -0.324916885053822 -0.114505645925654 -0.00517267583748691 -0.0595483775924084 -0.470419059418325 -0.582103755151571 -0.47716073939555 -0.136321324078534 -0.223568578801309 -0.136321324078534 -0.223568578801309 -0.302241349383717 -0.267295729696073 -0.267163632338874 -0.389836135845026 -0.527809079153665 -0.568976990199476 -0.25877986456034 -0.0984201867017278 -0.367531665141754 -0.225456989828822 -0.0942674121041885 -0.305737740081414 -0.322404590554974 -0.264337145057513 -0.504250712521989 -0.315935622291806 -0.221225550220463 -0.567528841201309 -0.372183650607853 -0.442843462992408 -0.303094911566492 -0.515655348259162 -0.39114865801466 -0.397559629355236 -0.201588680252356 -0.360159899487147 -0.24878824947055 -0.299025628907225 -0.434376567146597 -0.469070154010209 -0.570700297124607 -0.599134518930367
"LAYING" 29 0.36734745377907 -0.0181208952609904 -0.116645567560529 -0.178165543245349 -0.0732523193339826 -0.282553126864826 0.827919842703488 -0.141628441671512 -0.0179835710527878 -0.945262335930233 -0.935493838139535 -0.910827817790698 0.047295771598314 -0.038356852794186 -0.0459974463425291 -0.252975696842471 -0.23240733400689 -0.530896399371512 -0.0539777886118314 -0.0655404356897384 0.0806944591807267 -0.473302505734593 -0.399107334659012 -0.343995182477907 -0.114384566791744 5.97646747674408e-05 -0.038508713015407 -0.48040195882936 -0.579204785433721 -0.470723211142733 -0.106307950702907 -0.173403654426337 -0.106307950702907 -0.173403654426337 -0.290079800742442 -0.244282738903256 -0.263231408438372 -0.362746200035756 -0.529130906819767 -0.562641817852035 -0.204602098491279 -0.10982689855843 -0.354660765567733 -0.170566750611483 -0.116194180880523 -0.3046141259875 -0.283166641093314 -0.273289236618314 -0.491976194636628 -0.289439514512529 -0.240607700934884 -0.56919200021657 -0.369391062003198 -0.430041798540116 -0.30600428589564 -0.509445395075581 -0.390445284980814 -0.42025003859593 -0.153726735089826 -0.316670637552907 -0.226618707147093 -0.274898163213372 -0.416600137942645 -0.44173008110436 -0.563814790719767 -0.593592951959302
"LAYING" 30 0.42987148694517 -0.00486800526527937 -0.123989571321901 -0.0788833585598695 -0.0365163975727415 -0.26068754580953 0.743802254934726 -0.107463927700522 0.00570771277234987 -0.908718849112272 -0.887103314261358 -0.859870159289817 0.0446622037689295 0.00302926512289817 -0.0121556749230548 -0.218089634858825 -0.231029210556684 -0.522160380383812 -0.0636649741832898 -0.0494555056282846 0.10328409518893 -0.458876670909661 -0.409290964105457 -0.329191241425326 -0.136095656276501 -0.010981621549295 -0.00200046284519582 -0.47463023830705 -0.574896059929504 -0.444307116268929 -0.0133315407054569 -0.0394639932530026 -0.0133315407054569 -0.0394639932530026 -0.26973063421436 -0.224171428251697 -0.224592993812898 -0.349222960663969 -0.52076399527154 -0.558527318191123 -0.134955508826371 -0.0742260406464752 -0.331998481049739 -0.0599747340663708 -0.0813715185861097 -0.285601768455091 -0.246763400211749 -0.266216902141932 -0.479331766769713 -0.259931233337024 -0.246273812849086 -0.564076286125326 -0.349663142613055 -0.421562946060313 -0.268360064239948 -0.49659787117859 -0.411359732150392 -0.415048835608094 -0.0576756917370757 -0.184331404942298 -0.197888778259634 -0.266945073220888 -0.402227602543159 -0.431135125979191 -0.55545790205671 -0.595815018678851
"SITTING" 8 0.276392755251397 -0.0167972400939106 -0.108350053994413 -0.957464333843575 -0.926462306083799 -0.938614666553073 0.703120013625698 0.0569209462391061 0.115623668624581 -0.99498713150838 -0.989596573854749 -0.980330417988827 0.0760327537949721 0.0104436533862581 0.00131022627306704 -0.956202707296089 -0.941339771089385 -0.963585056441341 -0.024993439792514 -0.0722006169726257 0.0840642585905028 -0.950568863910615 -0.948582614899441 -0.948528045865922 -0.0969862883988827 -0.0383872132346369 -0.0528930800418994 -0.958244780502793 -0.967572723128492 -0.963289068100559 -0.941862409134078 -0.945060892793296 -0.941862409134078 -0.945060892793296 -0.95360708373743 -0.950648450357542 -0.938224303374302 -0.937164921446927 -0.96537345601676 -0.963987026201117 -0.957955885527374 -0.931988373100559 -0.94904680077095 -0.957467976988827 -0.927628692782123 -0.93731495977933 -0.958704669575419 -0.94461229752514 -0.960830387502793 -0.957536906072626 -0.941824533269274 -0.964994180782123 -0.94605215178771 -0.954868100581006 -0.948333851871508 -0.952575895921788 -0.945570571536313 -0.95334008396648 -0.944679111340782 -0.953293227486034 -0.949596077324022 -0.951214406050279 -0.947423705171508 -0.941675602301676 -0.965684579385475 -0.964208471340782
"SITTING" 11 0.27689456971519 -0.0178774557347785 -0.108692691518987 -0.945965073781646 -0.922465927791139 -0.932791895566456 0.695271087506329 0.0972398660731013 0.135710433553734 -0.994646810917722 -0.983823912974684 -0.980866226329114 0.0776692104531646 0.0063507789482943 -0.000347737522815823 -0.947149505553798 -0.93946726953481 -0.960709700664557 -0.023554596339557 -0.0783261438927215 0.0876270781800633 -0.954306709113924 -0.949703876474684 -0.947465143575949 -0.0987573379841772 -0.044431632968038 -0.0540901643661392 -0.959535264762658 -0.967360240886076 -0.959874977259494 -0.931740476806962 -0.931111342582278 -0.931740476806962 -0.931111342582278 -0.948177650322785 -0.942975599306962 -0.938801462151899 -0.939085060664557 -0.964966214778481 -0.965198303829114 -0.94863929168038 -0.926248407879747 -0.942603218623418 -0.945222955113924 -0.924838981524684 -0.93217373386076 -0.94971792156962 -0.941292990598101 -0.956365148797468 -0.949255715872152 -0.941808270297468 -0.96368304721519 -0.946209071582279 -0.952781389189873 -0.944031430955063 -0.957070898101266 -0.948579336148734 -0.953547784142405 -0.932214066981962 -0.940751465800633 -0.941276124427215 -0.944691304639873 -0.947628200810127 -0.944253510791139 -0.965714465221519 -0.966919852341772
"SITTING" 14 0.277502228452012 -0.0164188321990712 -0.107129393993808 -0.966137024424149 -0.94156202449226 -0.950123521179567 0.690062530532508 0.0931922962139319 0.143437387356037 -0.995395296749226 -0.987615559226006 -0.981670909566563 0.0775051288823529 0.00689707059937461 -0.000587642899430341 -0.967346095470588 -0.955223837312384 -0.972753101547988 -0.0294076748510526 -0.0742206643210526 0.0876601410058823 -0.962536792910217 -0.959847217588235 -0.960471211482972 -0.0959287453281734 -0.0422344006939009 -0.0532689863841176 -0.969599926826625 -0.977473787956656 -0.973452967801858 -0.953565128117647 -0.954966221885449 -0.953565128117647 -0.954966221885449 -0.965476486659443 -0.963094927126935 -0.950056544817337 -0.952108611795666 -0.975684915479876 -0.975786782817337 -0.967528175272446 -0.945664163705882 -0.959925517705882 -0.965783448741176 -0.942470040148607 -0.948353794057895 -0.968771873916409 -0.95644016326935 -0.969730755325077 -0.968817406229102 -0.957150454272446 -0.974422206470588 -0.958988293126935 -0.96542224147678 -0.960051202767802 -0.964064183869969 -0.957421403977399 -0.964289631950464 -0.956577902577709 -0.960357766557276 -0.962758672845201 -0.962620020464396 -0.961021104365325 -0.954734298452012 -0.976234946439628 -0.976674124674923
"SITTING" 15 0.278104731371951 -0.0176886290960671 -0.108649462060976 -0.952673142539634 -0.918606349332317 -0.936095870192073 0.624522266615854 0.111150864159146 0.151502678607835 -0.993125854054878 -0.985824681707317 -0.980205613292683 0.0788649654634146 0.0106042467076159 -0.000892184547679878 -0.952911854204268 -0.939250578857927 -0.963136355463415 -0.0287805866155488 -0.0772146307692073 0.0870841581945122 -0.949335565320122 -0.951315400789634 -0.945849388993902 -0.0982499759695122 -0.0368747052926829 -0.055196789395122 -0.959342022926829 -0.971003516713415 -0.964804016829268 -0.936554302307927 -0.941482881948171 -0.936554302307927 -0.941482881948171 -0.951183293853659 -0.948036435945122 -0.936046126621951 -0.936995337957317 -0.968024947439024 -0.968289396493902 -0.952460938542683 -0.925827562943018 -0.946695429689024 -0.952959504768293 -0.919608017280793 -0.935159525182927 -0.954402862621951 -0.941889069109756 -0.95902219255939 -0.955642741551829 -0.940661170948171 -0.965863357164634 -0.944798124454268 -0.956649157329268 -0.947208555720427 -0.951408343676829 -0.949136839923781 -0.950466424716463 -0.941477219891159 -0.950098230548781 -0.946606173887195 -0.949258438689024 -0.949752369115854 -0.940305488353659 -0.968889993292683 -0.969609918353659
